allow_longs,allow_shorts,anchor_year,ann_return,atr_entry_enable,atr_entry_len,atr_long_mult,atr_short_mult,atr_sl_enable,atr_sl_len,atr_sl_mult,avg_loss,avg_win,calmar,end_capital,expectancy,fast_ma_len,fast_ma_type,leverage_long,leverage_short,liq_risk,max_dd,max_loss,max_win,period_end,period_start,pl_pct,profit_factor,sharpe_trade,signal_tf,sl_enable,sl_hit_rate,sl_hits,sl_risk_pct,slow_ma_len,slow_ma_type,stage,trades,trail_activate_pct,trail_atr_factor,trail_atr_len,trail_sl_enable,use_fast_ma,win_rate,window_end,window_start
True,True,2016,776.12,False,14,1.7,1.5,False,14,2.5,-2.33,53.58,88.876,7162.25,16.31,25,EMA,4.5,0.25,False,8.73,-3.0,122.12,2016-04-01,2015-04-01,616.22,11.499,0.406,D,True,50.0,9,3.0,150,SMA,fine,18,5.0,2.0,14,False,True,33.33,2016-04-01,2015-04-01
True,True,2017,1317.12,False,14,1.7,1.5,False,14,2.5,-4.04,90.53,64.952,14126.09,32.33,40,SMA,4.5,0.25,False,20.28,-9.5,198.24,2017-04-01,2016-04-01,1312.61,13.999,0.522,D,True,15.4,2,9.5,130,SMA,fine,13,5.0,2.0,14,False,True,38.46,2017-04-01,2016-04-01
True,True,2018,13784.62,False,14,1.7,1.5,False,14,2.5,-9.99,272.19,588.144,136864.81,131.1,44,SMA,3.25,2.5,False,23.44,-12.5,677.09,2018-04-01,2017-04-01,13586.48,27.251,0.568,D,True,30.0,3,12.5,110,SMA,fine,10,5.0,2.0,14,False,True,50.0,2018-04-01,2017-04-01
True,True,2019,250.81,False,14,1.7,1.5,False,14,2.5,-9.61,34.02,22.801,3272.94,16.57,55,EMA,4.0,2.5,False,11.0,-11.0,98.32,2019-04-01,2018-04-01,227.29,5.312,0.469,D,True,20.0,2,11.0,120,SMA,fine,10,5.0,2.0,14,False,True,60.0,2019-04-01,2018-04-01
True,True,2020,1672.69,False,14,1.7,1.5,False,14,2.5,-3.68,87.29,90.598,17669.63,28.42,25,SMA,4.5,2.5,False,18.46,-4.0,260.78,2020-04-01,2019-04-01,1666.96,12.927,0.419,D,True,58.8,10,4.0,160,SMA,fine,17,5.0,2.0,14,False,True,35.29,2020-04-01,2019-04-01
True,True,2021,13539.46,False,14,1.7,1.5,False,14,2.5,-3.15,150.2,586.229,131112.3,38.14,20,SMA,4.5,0.25,False,23.1,-4.5,400.71,2021-04-01,2020-04-01,13011.23,17.563,0.389,D,True,46.2,12,4.5,80,EMA,fine,26,5.0,2.0,14,False,True,26.92,2021-04-01,2020-04-01
True,True,2022,221.0,False,14,1.7,1.5,False,14,2.5,-5.31,61.9,7.608,3063.29,9.96,30,EMA,4.5,1.25,False,29.05,-6.0,201.34,2022-04-01,2021-04-01,206.33,3.429,0.222,D,True,63.6,14,6.0,100,SMA,fine,22,5.0,2.0,14,False,True,22.73,2022-04-01,2021-04-01
True,True,2023,1551.24,False,14,1.7,1.5,False,14,2.5,-3.75,65.24,114.435,16077.05,23.08,30,EMA,4.5,2.5,False,13.56,-4.5,169.65,2023-04-01,2022-04-01,1507.71,11.07,0.482,D,True,50.0,9,4.5,100,SMA,fine,18,5.0,2.0,14,False,True,38.89,2023-04-01,2022-04-01
True,True,2024,1753.68,False,14,1.7,1.5,False,14,2.5,-4.37,141.19,124.309,15019.82,53.86,70,SMA,4.5,0.25,False,14.11,-11.0,300.08,2024-04-01,2023-04-01,1401.98,21.562,0.497,D,True,10.0,1,11.0,160,SMA,fine,10,5.0,2.0,14,False,True,40.0,2024-04-01,2023-04-01
True,True,2025,204.3,False,14,1.7,1.5,False,14,2.5,-1.9,40.86,7.907,3024.83,6.38,20,EMA,4.5,0.25,False,25.84,-3.0,182.51,2025-04-01,2024-04-01,202.48,5.159,0.189,D,True,45.2,14,3.0,120,SMA,fine,31,5.0,2.0,14,False,True,19.35,2025-04-01,2024-04-01
True,True,2026,367.62,False,14,1.7,1.5,False,14,2.5,-3.59,35.02,22.475,4472.43,15.72,55,EMA,4.5,2.5,False,16.36,-4.0,75.78,2026-04-01,2025-04-01,347.24,9.764,0.597,D,True,41.7,5,4.0,150,EMA,fine,12,5.0,2.0,14,False,True,50.0,2026-04-01,2025-04-01
