review_date,train_start,forward_start,forward_end,label,train_pl_pct,train_dd,train_calmar,train_trades,forward_pl_pct,forward_dd,forward_calmar,forward_trades,walk_capital
2021-03-25,2020-03-25,2021-03-26,2021-09-25,S100S_F52S_LL4.0_LS0.50_SL3,1172.6,19.66,107.291,11,-20.52,20.52,-2.341,14,794.8
2021-09-25,2020-09-25,2021-09-26,2022-03-25,S100E_F60S_LL4.0_LS0.50_SL3,1321.26,14.13,97.327,13,0.5,11.47,0.09,11,798.77
2022-03-25,2021-03-25,2022-03-26,2022-09-25,S130E_F44S_LL3.0_LS0.50_SL4,107.17,12.58,9.907,14,23.09,4.0,12.257,3,983.21
2022-09-25,2021-09-25,2022-09-26,2023-03-25,S100E_F44S_LL4.0_LS0.50_SL6,189.42,9.06,21.213,12,241.87,5.66,92.314,10,3361.3
2023-03-25,2022-03-25,2023-03-26,2023-09-25,S130E_F60S_LL3.8_LS0.50_SL3,288.87,3.0,99.633,7,26.91,6.82,12.869,6,4265.83
2023-09-25,2022-09-25,2023-09-26,2024-03-25,S130E_F52S_LL3.8_LS0.50_SL3,365.45,6.82,60.979,10,177.74,16.7,22.084,7,11847.92
2024-03-25,2023-03-25,2024-03-26,2024-09-25,S130S_F60S_LL3.8_LS0.50_SL6,669.14,15.47,53.723,14,-37.28,38.57,-2.153,13,7431.01
2024-09-25,2023-09-25,2024-09-26,2025-03-25,S130S_F44S_LL3.8_LS0.50_SL6,474.33,24.32,19.788,16,100.85,28.23,7.457,11,14925.19
2025-03-25,2024-03-25,2025-03-26,2025-09-25,S130S_F44S_LL3.8_LS0.50_SL3,92.33,20.75,5.508,21,-5.13,15.08,-0.754,10,14159.53
2025-09-25,2024-09-25,2025-09-26,2026-03-25,S130E_F60S_LL4.0_LS0.50_SL4,452.14,14.97,30.735,17,11.62,10.0,2.386,8,15804.86
2026-03-25,2025-03-25,2026-03-26,2026-04-13,S130E_F60S_LL3.8_LS0.50_SL3,143.77,9.46,16.421,16,0.0,0.0,0.0,0,15804.86
