date,type,close,slow_ma,fast_ma,dist_to_slow_pct
2021-04-30,CROSS_ABOVE_FAST,57750.17578125,46582.81352163461,56923.614790482956,23.973
2021-05-03,CROSS_ABOVE_FAST,57200.29296875,47358.960426682694,56858.61940696023,20.78
2021-05-05,CROSS_ABOVE_FAST,57424.0078125,47817.85057091346,56829.18714488636,20.089
2021-05-07,CROSS_ABOVE_FAST,57356.40234375,48282.43375901442,56970.99866832386,18.794
2021-05-12,CROSS_BELOW_SLOW,49150.53515625,49298.16044170673,57021.795720880684,-0.299
2021-05-13,CROSS_ABOVE_SLOW,49716.19140625,49428.423272235574,56812.670720880684,0.582
2021-05-15,CROSS_BELOW_SLOW,46760.1875,49664.39541766827,56326.899857954544,-5.848
2021-08-07,CROSS_ABOVE_SLOW,44555.80078125,43410.23329326923,35384.773126775566,2.639
2021-09-14,CROSS_ABOVE_FAST,47092.4921875,40567.156700721156,46523.51473721591,16.085
2021-10-01,CROSS_ABOVE_FAST,48116.94140625,40353.05126201923,46699.13254616477,19.24
2021-12-04,CROSS_BELOW_SLOW,49200.703125,52226.62509014423,60138.90616122159,-5.794
2022-02-17,CROSS_BELOW_FAST,40538.01171875,50851.31565504808,40903.16495028409,-20.281
2022-03-04,CROSS_BELOW_FAST,39137.60546875,48434.62103365385,39991.18492542614,-19.195
2022-03-10,CROSS_BELOW_FAST,39437.4609375,47443.36099759615,40309.07457386364,-16.875
2022-03-27,CROSS_ABOVE_SLOW,46820.4921875,44601.46376201923,40878.628462357956,4.975
2022-04-06,CROSS_BELOW_SLOW,43206.73828125,43769.901772836536,42001.830078125,-1.287
2022-04-10,CROSS_BELOW_FAST,42207.671875,43319.832872596155,42403.00949928977,-2.567
2022-08-19,CROSS_BELOW_FAST,20877.552734375,27581.165474759615,22581.967329545456,-24.305
2022-09-13,CROSS_BELOW_FAST,20296.70703125,23946.85889423077,21773.597034801136,-15.243
2022-10-07,CROSS_BELOW_FAST,19546.849609375,21973.053951322116,19858.796741832386,-11.042
2022-11-04,CROSS_ABOVE_SLOW,21147.23046875,20819.63213641827,19645.076571377842,1.574
2022-11-07,CROSS_BELOW_SLOW,20602.81640625,20839.959900841346,19762.435502485794,-1.138
2022-11-08,CROSS_BELOW_FAST,18541.271484375,20834.359164663463,19756.50763494318,-11.006
2022-12-15,CROSS_BELOW_FAST,17364.865234375,19394.36062199519,17393.498757102272,-10.464
2022-12-23,CROSS_BELOW_FAST,16796.953125,18946.892908653845,16830.785089666195,-11.347
2022-12-27,CROSS_BELOW_FAST,16717.173828125,18762.409375,16820.628395774147,-10.901
2023-01-05,CROSS_BELOW_FAST,16836.736328125,18466.230183293268,16854.728382457386,-8.824
2023-01-12,CROSS_ABOVE_SLOW,18869.587890625,18330.732061298077,17016.939675071022,2.94
2023-03-13,CROSS_ABOVE_FAST,24197.533203125,19700.70925480769,22965.145729758522,22.826
2023-04-22,CROSS_ABOVE_FAST,27817.5,23063.96720252404,27594.741077769886,20.61
2023-04-25,CROSS_ABOVE_FAST,28307.59765625,23307.015835336537,28059.302867542614,21.455
2023-05-02,CROSS_ABOVE_FAST,28680.537109375,23962.26404747596,28553.05988103693,19.69
2023-05-28,CROSS_ABOVE_FAST,28085.646484375,25873.350931490386,27991.557350852272,8.55
2023-06-05,CROSS_BELOW_SLOW,25760.09765625,26148.034194711538,27629.107821377842,-1.484
2023-06-06,CROSS_ABOVE_SLOW,27238.783203125,26180.034615384615,27621.094149502842,4.044
2023-06-10,CROSS_BELOW_SLOW,25851.240234375,26275.425015024037,27426.921519886364,-1.614
2023-06-17,CROSS_ABOVE_SLOW,26510.67578125,26416.530618990386,26945.48797052557,0.356
2023-06-18,CROSS_BELOW_SLOW,26336.212890625,26442.6599609375,26872.80224609375,-0.403
2023-06-19,CROSS_ABOVE_SLOW,26851.029296875,26481.367578125,26826.129660866478,1.396
2023-06-19,CROSS_ABOVE_FAST,26851.029296875,26481.367578125,26826.129660866478,1.396
2023-08-17,CROSS_BELOW_SLOW,26664.55078125,28654.070087139422,29631.363991477272,-6.943
2023-09-21,CROSS_BELOW_FAST,26567.6328125,27989.045267427886,26802.8349609375,-5.078
2023-10-01,CROSS_ABOVE_SLOW,27983.75,27969.994861778847,26350.262428977272,0.049
2023-10-02,CROSS_BELOW_SLOW,27530.78515625,27978.107001201923,26382.86652166193,-1.599
2023-10-16,CROSS_ABOVE_SLOW,28519.466796875,28024.61310096154,26762.11212713068,1.766
